date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:43	7965/7965	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202019%2010:07:38%20GMT	https://bi.unocha.org/page/HR-LMS-Compliance	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/HR-LMS-Compliance.html	(from )
13:07:44	101/101	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Oct%202019%2010:07:39%20GMT	https://bi.unocha.org/robots.txt		(from )
13:07:45	3420/3420	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2023%20Oct%202019%2010:07:40%20GMT	https://bi.unocha.org/page/apple-touch-icon.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/apple-touch-icon.1.delayed	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:47	3420/3420	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2023%20Oct%202019%2010:07:41%20GMT	https://bi.unocha.org/page/favicon-32x32.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/favicon-32x32.2.delayed	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:48	3420/3420	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2023%20Oct%202019%2010:07:42%20GMT	https://bi.unocha.org/page/favicon-16x16.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/favicon-16x16.3.delayed	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:49	3420/3420	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2023%20Oct%202019%2010:07:43%20GMT	https://bi.unocha.org/page/manifest.json	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/manifest.4.delayed	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:50	3420/3420	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2023%20Oct%202019%2010:07:44%20GMT	https://bi.unocha.org/page/safari-pinned-tab.svg	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/safari-pinned-tab.5.delayed	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:51	3420/3420	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2023%20Oct%202019%2010:07:45%20GMT	https://bi.unocha.org/page/favicon.ico	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/favicon.6.delayed	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:52	15492/15492	---M-Z	200	added ('OK')	text/css	etag:%22b284ad89946cd51:0%22	https://bi.unocha.org/assets/css/styles.min.css	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/assets/css/styles.min.css	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:53	16025/16025	---M-Z	200	added ('OK')	text/javascript	etag:%2216a1-56255b42acf80%22	https://tab1.unocha.org/javascripts/api/viz_v1.js	C:/Users/Subow/Desktop/developer/test/tab1.unocha.org/javascripts/api/viz_v1.js	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:54	29164/29164	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d7a0fa3-71ec%22	https://vocabulary.unocha.org/assets/js/modernizr-output.js	C:/Users/Subow/Desktop/developer/test/vocabulary.unocha.org/assets/js/modernizr-output.js	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:55	93064/93064	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d7a0fa3-16b88%22	https://vocabulary.unocha.org/assets/js/jquery-1.10.2.min.js	C:/Users/Subow/Desktop/developer/test/vocabulary.unocha.org/assets/js/jquery-1.10.2.min.js	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:55	5566/5566	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d7a0fa3-15be%22	https://vocabulary.unocha.org/assets/js/bootstrap-dropdown.js	C:/Users/Subow/Desktop/developer/test/vocabulary.unocha.org/assets/js/bootstrap-dropdown.js	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:56	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Subow/Desktop/developer/test/www.google-analytics.com/analytics.js	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:56	1661/1661	---M--	200	added ('OK')	image/png	etag:%2206c93f9d045d51:0%22	https://bi.unocha.org/assets/img/logos/ocha-logo-blue@53x37.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/assets/img/logos/ocha-logo-blue@53x37.png	(from https://bi.unocha.org/assets/css/styles.min.css)
13:07:57	10364/10364	---M--	200	added ('OK')	image/png	etag:%2206c93f9d045d51:0%22	https://bi.unocha.org/assets/img/logos/ocha-lockup-blue@186x60.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/assets/img/logos/ocha-lockup-blue@186x60.png	(from https://bi.unocha.org/assets/css/styles.min.css)
13:07:58	103/103	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Oct%202019%2010:07:51%20GMT	https://bi.unocha.org/assets/img/logos/ocha-lockup-white@149x37.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/assets/img/logos/ocha-lockup-white@149x37.f.delayed	(from https://bi.unocha.org/assets/css/styles.min.css)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/apple-touch-icon.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/apple-touch-icon.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/favicon-32x32.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/favicon-32x32.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/favicon-16x16.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/favicon-16x16.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/manifest.json	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/manifest.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/safari-pinned-tab.svg	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/safari-pinned-tab.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/favicon.ico	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/favicon.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/apple-touch-icon.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/apple-touch-icon.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/favicon-32x32.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/favicon-32x32.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/favicon-16x16.png	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/favicon-16x16.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/manifest.json	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/manifest.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/safari-pinned-tab.svg	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/safari-pinned-tab.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
13:07:58	0/-1	---M--	500	error ('')			https://bi.unocha.org/page/favicon.ico	C:/Users/Subow/Desktop/developer/test/bi.unocha.org/page/favicon.html	(from https://bi.unocha.org/page/HR-LMS-Compliance)
